Training,Target
"Yeah, hahahaha...whooooo, shit!",0
Guess what? I ain't coming in yet...,0
I'll come in a minute,0
Ayo...This is my love song...it goes like this,0
Back when Mark Walhberg was Marky Mark,0
This is how we used to make the party start,0
We used to mix Hen' with Bacardi Dark,0
"And when it, kicks in you can hardly talk",0
"And by the, sixth gin you're gonna probably crawl",0
"And you'll be, sick then and you'll probably barf",0
And my pre-diction is you're gonna probably fall,0
Either somewhere in the lobby or the hallway wall,0
And everything's spinning,0
You're beginin' to think women,0
are swimming in pink linen again in the sink,0
Then in a couple of minutes that bottle of Guinness is finished,0
You are now allowed to officially slap bitches,1
You have the right to remain violent and start wilin',1
Start a fight with the same guy that was smart eyin' you,1
"Get in your car, start it, and start drivin'",1
Over the island and cause a 42 car pile-up,1
"Earth calling, pilot to co-pilot",1
"Looking at the life on this planet, sir, no sign of it",1
All I can see is a bunch of smoke flyin',1
And I'm so high that I might die if I go by it,1
Let me out of this place,1
I'm outta place,1
I'm in outer space,1
I've just vanished without a trace,1
I'm going to a pretty place now where the flowers grow,1
I'll be back in an hour or so,1
'Cause every time I go to try to leave,1
Someone keeps pullin' on my sleeve,1
"I don't wanna, but I gotta stay",1
These drugs really got a hold of me,1
"'Cause every time I try to tell them ""no""",1
They won't let me ever let them go,1
I'm a sucker all I gotta say,1
These drugs really got a hold of me,1
"In third grade, all I used to do",1
Was sniff glue through a tube and play Rubic's cube,1
17 years later I'm as Rude as Jude,1
Scheming on the first chick with the hugest boobs,1
I've got no game,1
And every face looks the same,1
They've got no name,1
So I don't need game to play,1
I just say whatever I want to whoever I want,1
"Whenever I want, wherever I want, however I want",1
"However, I do show some respect to few",1
As ecstasy got me standing next to you,1
Getting sentimental as fuck spillin' guts to you,1
We just met,1
But I think I'm in love with you,1
But you're on it too,1
So you tell me you love me too,1
"Wake up in the morning like ""yo, what the fuck we do?""",1
I gotta go bitch,1
You know I have stuff to do,1
'Cause if I get caught cheatin' then I'm stuck with you,1
But in the long run,1
These drugs are probably going to catch up sooner or later,1
"But fuck it, I'm on one",1
So let's enjoy,1
Let the X destroy your spinal cord,1
So it's not a straight line no more,1
'Til we walk around looking like some wind-up dolls,1
Shit's sticking out of our backs like a dinosaur,1
