Training,Target,Testing
"Yeah, hahahaha...whooooo, shit!",0,Drugs
Guess what? I ain't coming in yet...,0,Drugs
I'll come in a minute,0,Drugs
Ayo...This is my love song...it goes like this,0,Drugs
Back when Mark Walhberg was Marky Mark,0,Drugs
This is how we used to make the party start,0,Drugs
We used to mix Hen' with Bacardi Dark,0,Drugs
"And when it, kicks in you can hardly talk",0,Drugs
"And by the, sixth gin you're gonna probably crawl",0,Drugs
"And you'll be, sick then and you'll probably barf",0,Drugs
And my pre-diction is you're gonna probably fall,0,Drugs
Either somewhere in the lobby or the hallway wall,0,Drugs
And everything's spinning,0,Drugs
You're beginin' to think women,0,Drugs
are swimming in pink linen again in the sink,0,Drugs
Then in a couple of minutes that bottle of Guinness is finished,0,Drugs
You are now allowed to officially slap bitches,1,Drugs
You have the right to remain violent and start wilin',1,Drugs
Start a fight with the same guy that was smart eyin' you,1,Drugs
"Get in your car, start it, and start drivin'",1,Drugs
Over the island and cause a 42 car pile-up,1,Drugs
"Earth calling, pilot to co-pilot",1,Drugs
"Looking at the life on this planet, sir, no sign of it",1,Drugs
All I can see is a bunch of smoke flyin',1,Drugs
And I'm so high that I might die if I go by it,1,Drugs
Let me out of this place,1,Drugs
I'm outta place,1,Drugs
I'm in outer space,1,Drugs
I've just vanished without a trace,1,Drugs
I'm going to a pretty place now where the flowers grow,1,Drugs
I'll be back in an hour or so,1,Drugs
'Cause every time I go to try to leave,1,Drugs
Someone keeps pullin' on my sleeve,1,Drugs
"I don't wanna, but I gotta stay",1,Drugs
These drugs really got a hold of me,1,Drugs
"'Cause every time I try to tell them ""no""",1,Drugs
They won't let me ever let them go,1,Drugs
I'm a sucker all I gotta say,1,Drugs
These drugs really got a hold of me,1,Drugs
"In third grade, all I used to do",1,Drugs
Was sniff glue through a tube and play Rubic's cube,1,Drugs
17 years later I'm as Rude as Jude,1,Drugs
Scheming on the first chick with the hugest boobs,1,Drugs
I've got no game,1,Drugs
And every face looks the same,1,Drugs
They've got no name,1,Drugs
So I don't need game to play,1,Drugs
I just say whatever I want to whoever I want,1,Drugs
"Whenever I want, wherever I want, however I want",1,Drugs
"However, I do show some respect to few",1,Drugs
As ecstasy got me standing next to you,1,Drugs
Getting sentimental as fuck spillin' guts to you,1,Drugs
We just met,1,Drugs
But I think I'm in love with you,1,Drugs
But you're on it too,1,Drugs
So you tell me you love me too,1,Drugs
"Wake up in the morning like ""yo, what the fuck we do?""",1,Drugs
I gotta go bitch,1,Drugs
You know I have stuff to do,1,Drugs
'Cause if I get caught cheatin' then I'm stuck with you,1,Drugs
But in the long run,1,Drugs
These drugs are probably going to catch up sooner or later,1,Drugs
"But fuck it, I'm on one",1,Drugs
So let's enjoy,1,Drugs
Let the X destroy your spinal cord,1,Drugs
So it's not a straight line no more,1,Drugs
'Til we walk around looking like some wind-up dolls,1,Drugs
Shit's sticking out of our backs like a dinosaur,1,Drugs
"Shit, six hits won't even get me high no more",1,Drugs
So bye for now,1,Drugs
I'm going to try to find some more,1,Drugs
That's the sound of a bottle when it's hollow,1,Drugs
When you swallow it all wallow and drown in your sorrow,1,Drugs
And tomorrow you're probably going to want to do it again,1,Drugs
What's a little spinal fluid between you and a friend? Screw it,1,Drugs
And what's a little bit of alcohol poisoning?,1,Drugs
And what's a little fight?,1,Drugs
Tomorrow you'll be boys again,1,Drugs
It's your life,1,Drugs
Live it however you wanna,1,Drugs
Marijuana is everywhere,1,Drugs
Where was you brought up?,1,Drugs
It don't matter as long as you get where you're going,1,Drugs
'Cause none of the shit is going to mean shit where we're going,1,Drugs
"They tell you to stop, but you just sit there ignoring",1,Drugs
Even though you wake up feeling like shit every morning,1,Drugs
But you're young,1,Drugs
You've got a lot of drugs to do,1,Drugs
Girls to screw,1,Drugs
Parties to crash,1,Drugs
Sucks to be you,1,Drugs
"If I could take it all back now, I wouldn't",1,Drugs
I would have did more shit that people said that I shouldn't,1,Drugs
But I'm all grown up now and upgraded and graduated,1,Drugs
Did better drugs and updated,1,Drugs
But I've still got a lot of growing up to do,1,Drugs
I've still got a whole lot of throwing up to spew,1,Drugs
But when it's all said and done I'll be 40,1,Drugs
Before I know it with a 40 on the porch telling stories,1,Drugs
With a bottle of Jack,1,Drugs
Two grandkids in my lap,1,Drugs
Babysitting for Hailie while Hailie's out getting smashed,1,Drugs
Drugs really got a hold of me,1,Drugs
They really got a hold of me,1,Drugs
'Cause drugs really got a hold of me,1,Drugs
They really got a hold of me,1,Drugs
Wake up this morning I'm shaking I can't be still girl,1,Drugs
Too many images running through my mind,1,Drugs
"Soon as I hit it, I can't get it out my system",1,Drugs
Even my brother he asked me what you on,1,Drugs
I'm on some kind of drug,1,Drugs
Can't explain all the ways you get me high,1,Drugs
I'm on some kind of drug,1,Drugs
"Can't explain, don't keep me waiting all night",1,Drugs
"Girl come through, them bath water running",1,Drugs
Fire be burning in my hotel room,1,Drugs
"Come through, champagne be popping",1,Drugs
System be knocking in my hotel room,1,Drugs
"Ever since I met you, you got me changing my schedule",1,Drugs
"If you ain't know, that shits eventful",1,Drugs
"And losing this money is dreadful, but",1,Drugs
"Believe me, that pussy is special",1,Drugs
"You wanna meet moms, I might let you",1,Drugs
Rollie is soo presidential,1,Drugs
"Keep it on while we fuck that's cause I meant to, yeah",1,Drugs
"Fuck you twice, we take a nap, soon as you're awake, get back",1,Drugs
Go for three it takes a nack,1,Drugs
I'm taking you to places that,1,Drugs
"You ain't been girl, face the fact, meant it, I can't take it back",1,Drugs
"Whisky straight, ain't chasing that, I'll taste the cat, yeah",1,Drugs
"Yeah, you told me I own that pearl",1,Drugs
"Yeah, that's cause I bone you thorough",1,Drugs
You should be my only girl,1,Drugs
"When I hit it, you feel like you own the world",1,Drugs
I'm on some kind of drug,1,Drugs
Can't explain all the ways you get me high,1,Drugs
I'm on some kind of drug,1,Drugs
"Can't explain, don't keep me waiting all night",1,Drugs
"Girl come through, that bath water running",1,Drugs
Fire be burning in my hotel room,1,Drugs
"Come through, champagne be popping",1,Drugs
System be knocking in my hotel room,1,Drugs
Since the last time we had sex,1,Drugs
"Honestly, I've been a mess, well",1,Drugs
Fienin cause you got the best,1,Drugs
Borderline kind of obsessed and yeah,1,Drugs
I'm on some kind of drug,1,Drugs
I've been addicted and I cannot find enough,1,Drugs
"I call you, I'm tryna fuck, I'm in room 921, come on up",1,Drugs
"And we could put up the ""please do not disturb""",1,Drugs
"I got drink, I got the herb, I'm tweakin', now I must be cured",1,Drugs
The only way I rest assured is if... I get my fix,1,Drugs
I love the way your dress just slips,1,Drugs
"Right off your waist, right down your hips",1,Drugs
"Technique's the best, she knows some tricks and yeah",1,Drugs
"I need you now, I need you bad",1,Drugs
You and me both of us been fienin' bad,1,Drugs
I guess what I really mean is that...yeah,1,Drugs
I'm on some kind of drug,1,Drugs
Can't explain all the ways you get me high,1,Drugs
I'm on some kind of drug,1,Drugs
"Can't explain, don't keep me waiting all night",1,Drugs
"Girl come through, that bath water running",1,Drugs
Fire be burning in my hotel room,1,Drugs
"Come through, champagne be popping",1,Drugs
System be knocking in my hotel room,1,Drugs
"Girl come through, that bath water running",1,Drugs
Fire be burning in my hotel room,1,Drugs
"Come through, champagne be popping",1,Drugs
System be knocking in my hotel room,1,Drugs
We ain't playin anymore,1,Drugs
Privacy on the door,1,Drugs
We ain't playin anymore,1,Drugs
Privacy on the door,1,Drugs
When we finish baby,1,Drugs
Ain't gon' need no more,1,Drugs
Cause I had the best of the worst sides,1,Drugs
And I had these lungs,1,Drugs
And I had too many flash fires,1,Drugs
That I just let them burn,1,Drugs
Till my chest is on fire,1,Drugs
And my head just won't die,1,Drugs
I guess I'm lying cause I wanna,1,Drugs
I guess I'm lying cause I don't,1,Drugs
Cause I just feel so tired,1,Drugs
Like it's move or slowly die,1,Drugs
You ain't you when you're like this,1,Drugs
This ain't you and you know it,1,Drugs
But ain't that just the point?,1,Drugs
You don't know how to let go,1,Drugs
Who said this must be all or nothing?,1,Drugs
"But I'm still caught below, and I'll never let you know",1,Drugs
No I can't tell you nothing,1,Drugs
Cause I'm a fucking mess sometimes,1,Drugs
But still I could always be,1,Drugs
Whatever you wanted,1,Drugs
But not what you needed,1,Drugs
Especially when you been needing me,1,Drugs
Cause I'm a fucking mess sometimes,1,Drugs
And I'll say what I don't mean,1,Drugs
Just cause I wanted,1,Drugs
Or maybe I need it,1,Drugs
Swear lying's the only rush I need,1,Drugs
Cause all I needed was some words to say,1,Drugs
That all these feelings don't mean shit to me,1,Drugs
"Cause it's all just chemicals anyway, anyway, yeah",1,Drugs
And I got way too many routes to take,1,Drugs
To make this all just go away,1,Drugs
And find another heart to break,1,Drugs
So heartless with the words I say,1,Drugs
Just saying what I'm supposed to say,1,Drugs
Cause I had nothing for you,1,Drugs
I can't love when I can't even love myself,1,Drugs
Things I would rather be thoughts at the back of my head,1,Drugs
But I'm addicted to hurting,1,Drugs
And I got these lungs,1,Drugs
And I spent too many late nights,1,Drugs
Just Thinking a hole in the earth,1,Drugs
Till the sky is on fire,1,Drugs
And my head still won't die,1,Drugs
I guess I'm lying cause I wanna,1,Drugs
I guess I'm lying cause I don't,1,Drugs
Cause I just feel so tired,1,Drugs
Like I need something to come alive,1,Drugs
"She said, ""You ain't you when you're like this",1,Drugs
"This ain't you, what you done?""",1,Drugs
"And I said, ""That's the point""",1,Drugs
You don't know how to let go,1,Drugs
Who said this must be all or nothing?,1,Drugs
"But I'm still caught below, and I'll never let you know",1,Drugs
No I can't tell you nothing,1,Drugs
Cause I'm a fucking mess sometimes,1,Drugs
But still I could always be,1,Drugs
"Whatever you wanted, but not what you needed",1,Drugs
Especially when you been needing me,1,Drugs
Cause I'm a fucking mess inside,1,Drugs
And I'll say what I don't mean,1,Drugs
"Just cause I wanted, or maybe I need it",1,Drugs
Swear lying's the only rush I need,1,Drugs
What is that funny light and sound,1,Drugs
"Calling me, in my head, repeatedly?",1,Drugs
What is that vision there in sight,1,Drugs
Before my eyes?,1,Drugs
So prominent,1,Drugs
"So mesmerising, turbulent",1,Drugs
You've got a hold on me,1,Drugs
Your ingenuity,1,Drugs
Seems to be driving me down on my knees,1,Drugs
The force you generate,1,Drugs
You reinvigorate,1,Drugs
Your body tells them 'No mistakes',1,Drugs
For I'm already drawn,1,Drugs
Close to the divine,1,Drugs
Intoxicating images are rushing through my mind,1,Drugs
"Embodiment of sin, has seen a way within",1,Drugs
Sensation seems to multiply,1,Drugs
They're building up inside,1,Drugs
Carried through the night,1,Drugs
Radiating light,1,Drugs
I see you move the crowd,1,Drugs
I know what you're about,1,Drugs
The stories I have heard,1,Drugs
To talk about excess,1,Drugs
I know what people say,1,Drugs
But surely you impress?,1,Drugs
Caressed by a pill,1,Drugs
You elevated soul,1,Drugs
Vanity and pride,1,Drugs
An addict to one,1,Drugs
A universal force,1,Drugs
A one and only kind,1,Drugs
A thing I can't control,1,Drugs
No matter how I try,1,Drugs
What have you done to me?,1,Drugs
This kind of chemistry,1,Drugs
Emotions running over me,1,Drugs
And when you arch your back,1,Drugs
Just when you stay like that,1,Drugs
When it's natural to interact,1,Drugs
When others holding back,1,Drugs
Ready to commence,1,Drugs
Caught up in your bliss,1,Drugs
You're so confusing and intense,1,Drugs
Synergy of two,1,Drugs
Energy go wild,1,Drugs
See the stars aligned to spell,1,Drugs
Our name out in the sky,1,Drugs
Jealousy in sight,1,Drugs
So fascinating ride,1,Drugs
So much faith between,1,Drugs
Floating up the steam,1,Drugs
Calling out so loud,1,Drugs
Beautiful and true,1,Drugs
Mystery about,1,Drugs
Everything you do,1,Drugs
Caressed by a drug,1,Drugs
You elevated soul,1,Drugs
Vanity and pride,1,Drugs
An addict to one,1,Drugs
A universal force,1,Drugs
A one and only kind,1,Drugs
A thing I can't control,1,Drugs
No matter how I try,1,Drugs
This electricity,1,Drugs
Injected into me,1,Drugs
Emotions running over me,1,Drugs
And when you're getting close,1,Drugs
You touch my innermost,1,Drugs
A feeling deep inside me knows,1,Drugs
On a floaty light,1,Drugs
Carried through the night,1,Drugs
We have got it all,1,Drugs
I get through without,1,Drugs
Flowing in my veins,1,Drugs
Ribbing through my soul,1,Drugs
I'll never be the same,1,Drugs
The secret can't be told,1,Drugs
Charismatic pill,1,Drugs
You elevated soul,1,Drugs
Vanity and pride,1,Drugs
An addict to one,1,Drugs
A universal force,1,Drugs
A one and only kind,1,Drugs
A thing I can't control,1,Drugs
No matter how I try,1,Drugs
Let me take you down,1,Drugs
'Cause I'm going to Strawberry Fields,1,Drugs
Nothing is real,1,Drugs
And nothing to get hung about,1,Drugs
Strawberry Fields forever,1,Drugs
Living is easy with eyes closed,1,Drugs
Misunderstanding all you see,1,Drugs
It's getting hard to be someone,1,Drugs
But it all works out,1,Drugs
It doesn't matter much to me1,1,Drugs
Let me take you down,1,Drugs
'Cause I'm going to Strawberry Fields,1,Drugs
Nothing is real,1,Drugs
And nothing to get hung about,1,Drugs
Strawberry Fields forever,1,Drugs
No one I think is in my tree,1,Drugs
I mean it must be high or low,1,Drugs
That is you know you can't tune it,1,Drugs
But it's all right,1,Drugs
That is I think it's not too bad,1,Drugs
Let me take you down,1,Drugs
'Cause I'm going to Strawberry Fields,1,Drugs
Nothing is real,1,Drugs
And nothing to get hung about,1,Drugs
Strawberry Fields forever,1,Drugs
Always know sometimes it's me,1,Drugs
But you know I know when it's a dream,1,Drugs
"I think I know I mean a ""Yes""",1,Drugs
But it's all wrong,1,Drugs
That is I think I disagree,1,Drugs
Let me take you down,1,Drugs
'Cause I'm going to Strawberry Fields,1,Drugs
Nothing is real,1,Drugs
And nothing to get hung about,1,Drugs
Strawberry Fields forever,1,Drugs
Strawberry Fields forever,1,Drugs
Strawberry Fields forever,1,Drugs
Ground Control to Major Tom,1,Drugs
Ground Control to Major Tom,1,Drugs
Take your protein pills and put your helmet on,1,Drugs
"Ground Control to Major Tom (ten, nine, eight, seven, six)",1,Drugs
"Commencing countdown, engines on (five, four, three)",1,Drugs
"Check ignition and may God's love be with you (two, one, liftoff)",1,Drugs
This is Ground Control to Major Tom,1,Drugs
You've really made the grade,1,Drugs
And the papers want to know whose shirts you wear,1,Drugs
Now it's time to leave the capsule if you dare,1,Drugs
